name,address,image,rating,description,totalscore,cantcomment
<<<<<<< Updated upstream
Hotel Nacional,"Calle 21 y O, Vedado, Plaza La Habana, 10400, Cuba",hotel_nacional.jpg,6.700721576809883,"Hotel histórico de 1930 con 3 restaurantes, 3 bares, 2 piscinas al aire libre y entretenimiento en vivo. ",26.80288630723953,4
Habana Libre," 4JQ9+P4J, Calle M, La Habana, Cuba",Habana_Libre.jpg,5.832634856303533,"Hotel moderno de gran altura con vista al mar, opciones gastronómicas, discoteca y piscina al aire libre.",69.9916182756424,12
 Hotel Roc Presidente,"Calle Calzada N.110 Esq, Avenida de los Presidentes, La Habana, Cuba",presidentehotel.jpeg,0.0,"Hotel refinado con 2 restaurantes, bar en el vestíbulo, piscina al aire libre, desayuno y estacionamiento incluidos.",0.0,0
 Hotel Paseo del Prado La Habana," 4JWR+4JW, La Habana, Cuba",prado.jpeg,0.0,"Elegantes muebles contemporáneos, paletas neutras, tecnología innovadora y comodidades de diseño adornan y equipan las 250 habitaciones y 36 suites del Royalton Habana Paseo del Prado. En la planta baja hay un corredor con galerías, un bar de puros y una tienda, donde transitan los turistas que visitan la zona. La piscina infinita con bar adyacente se encuentra en el lado derecho del edificio, frente al paseo marítimo. Salas de reuniones interiores, SPA con seis salas de tratamiento, gimnasio, el lobby Lounge Mixo y Chocolatería, y el divertido HI Nice Lounge están disponibles para los huéspedes.",0.0,0
=======
Midway Motel,901 Snelling Ave N,Midway_Motel.png,9.997937232255936,"Hotels,Hotels and motels,Motel,Lodging,Hotels Motels,Motels,Hotel",9.997937232255936,1
Quality Inn-decherd,1838 Decherd Blvd,Quality_Inn-decherd.png,9.99791383743286,"Hotels and motels,Hotel and motel reservations,Hotel",9.99791383743286,1
Hampton Inn Suites Bend,730 Sw Columbia St,Hampton_Inn_Suites_Bend.png,9.997895956039429,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",9.997895956039429,1
Days Inn-Altus,2804 N Main St,Days_Inn-Altus.png,9.997872710227966,"Hotels,Hotels and motels,Lodging,Hotels Motels,Motels,Restaurants,Hotel",9.997872710227966,1
Grand Summit Hotel,4000 Canyons Resort Dr,Grand_Summit_Hotel.png,9.997854232788086,"Hotels,Hotel",9.997854232788086,1
Hampton Inn Suites Red Bluff,520 Adobe Rd,Hampton_Inn_Suites_Red_Bluff.png,9.997834116220474,"Hotels,Corporate Lodging,Lodging,Hotel",9.997834116220474,1
Pacific Terrace Hotel,610 Diamond Street,Pacific_Terrace_Hotel.png,9.997825771570206,"Resorts,Hotels Motels,Hotel",9.997825771570206,1
